debt_indicator,indicator_name,average_debt
DT.AMT.DLXF.CD,"Principal repayments on external debt, long-term (AMT, current US$)",5904868401.526613
DT.AMT.DPNG.CD,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",5161194333.825315
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)",2152041216.897561
DT.DIS.OFFT.CD,"PPG, official creditors (DIS, current US$)",1958983452.886065
DT.AMT.PRVT.CD,"PPG, private creditors (AMT, current US$)",1803694101.9704075
DT.INT.DLXF.CD,"Interest payments on external debt, long-term (INT, current US$)",1644024067.6314518
DT.DIS.BLAT.CD,"PPG, bilateral (DIS, current US$)",1223139290.39646
DT.INT.DPNG.CD,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",1220410844.4265823
DT.AMT.OFFT.CD,"PPG, official creditors (AMT, current US$)",1191187963.0975804
DT.AMT.PBND.CD,"PPG, bonds (AMT, current US$)",1082623947.6608696
